必要なバス停名,取得バス停名,緯度,経度
阿佐谷南一, 阿佐ヶ谷南一丁目  ,35.701787,139.636168
阿佐谷南一, 阿佐ヶ谷南一丁目  ,35.7017056,139.6361289
阿佐谷南一, 阿佐ヶ谷南一丁目  ,35.702084,139.63607
阿佐谷南一, 阿佐谷南一丁目（バス）  ,35.7018865,139.6360913
幡ヶ谷原町, 幡ヶ谷原町  ,35.675849,139.6715
幡ヶ谷原町, 幡ヶ谷原町（バス）  ,35.6762002,139.6739172
大宮町, 大宮町（バス）  ,35.681534,139.642281
大宮町, 大宮町（バス）  ,35.6816596,139.6427417
西永福, 西永福（バス）  ,35.679451,139.6372774
西永福, 西永福  ,35.6794447,139.6375574
天沼, 天沼  ,35.702887,139.627918
天沼, 天沼  ,35.7031,139.6277
天沼, 天沼  ,35.703434,139.627266
笹塚二, 笹塚二丁目（バス）  ,35.6737193,139.6642944
笹塚二, 笹塚二丁目（バス）  ,35.6735866,139.6644602
笹塚二, 笹塚二丁目  ,35.67372,139.664261
笹塚二, 笹塚二丁目  ,35.673404,139.664323
南台三, 南台三丁目（バス）  ,35.683752,139.669281
南台三, 南台三丁目（バス）  ,35.683173,139.669442
杉並都税事務所, 杉並都税事務所前  ,35.700625,139.6324722
杉並都税事務所, 杉並都税事務所（バス）  ,35.700759,139.632555
杉並都税事務所, 杉並都税事務所（バス）  ,35.700624,139.632418
富士高, 富士高校（バス）  ,35.689159,139.668817
富士高, 富士高校（バス）  ,35.688562,139.668914
