,0,1
6298,"35.65936550,139.61640504",区立温水プール前
6299,"35.66745524,139.59387965",給田
6300,"35.66628546,139.59939622",南水無
6301,"35.66578650,139.59977626",南水無
6302,"35.66654145,139.60805091",芦花パークゴルフ練習場前
6303,"35.66952669,139.59113262",中給田
6304,"35.66862353,139.59669556",西烏山
6305,"35.66820154,139.60862085",ウテナ前
6306,"35.66984965,139.60128401",烏山
6307,"35.65855638,139.60522394",千歳中前
6308,"35.66069332,139.60812443",芦花高入口
6309,"35.63283100,139.60445247",東京都市大附属小前
6310,"35.65752218,139.58631279",神代高
6311,"35.63834807,139.56512437",西和泉
6312,"35.64337973,139.61863254",実相寺前
6313,"35.65579261,139.60931699",塚戸小前
6314,"35.64287770,139.60993004",祖師ヶ谷大蔵駅
6315,"35.66572812,139.60419556",粕谷町
6316,"35.66263047,139.60693561",芦花恒春園前
6317,"35.66702483,139.60188712",千歳烏山駅南口
6318,"35.63440529,139.60318974",東京都市大附属中高前
6319,"35.63945175,139.59854376",成城学園前駅
6320,"35.65012757,139.59659038",都立総合工科高前
6321,"35.63461462,139.59228788",喜多見駅入口
6322,"35.66374371,139.58359346",仙川
6323,"35.65639918,139.57628943",つつじヶ丘駅南口入口
6324,"35.66900973,139.57328553",コミュニティセンター西
6325,"35.65000497,139.57765704",たかや橋
6326,"35.65106174,139.57611506",神代団地
6327,"35.64944981,139.57873427",神代団地入口
6328,"35.63498183,139.57747861",狛江市役所前
6329,"35.63272264,139.57715318",狛江駅北口
6330,"35.63170548,139.57705700",狛江駅南口
6331,"35.66466844,139.56580360",上ノ原小
6332,"35.64046661,139.56522722",住宅東口
6333,"35.63514146,139.61565159",NHK技術研究所
6334,"35.63326400,139.57952941",東和泉一
6335,"35.66962477,139.60057529",千歳烏山駅
6336,"35.64799616,139.59662858",ゴルフ練習場前
6337,"35.64489067,139.61647002",笠森稲荷前
6338,"35.65507310,139.59620213",上祖師谷四
6339,"35.64113699,139.55946906",公園前
6340,"35.66893947,139.56239472",深大寺市営住宅
6341,"35.66651301,139.56218447",晃華学園東
6342,"35.65994442,139.57617597",つつじヶ丘駅入口
6343,"35.66172410,139.58012816",仙川町二
6344,"35.66537292,139.58123634",白百合女子大入口
6345,"35.66320529,139.58407300",仙川駅入口
6346,"35.63879856,139.57490207",和泉本町三
6347,"35.63655213,139.57598374",和泉本町
6348,"35.63463019,139.61149438",成育医療センター前
6349,"35.64426026,139.57026249",前原公園
6350,"35.64262057,139.57328980",狛江市民総合体育館
6351,"35.64023515,139.57745983",狛江第一中
6352,"35.63694796,139.57942333",岩戸北一
6353,"35.66507851,139.58961184",給田郵便局
6354,"35.66327704,139.60308933",粕谷区民センター入口
6355,"35.66016404,139.60302511",榎北
6356,"35.66647868,139.60307465",南烏山
6357,"35.66923930,139.58586728",柳川公園
6358,"35.66841365,139.58585730",緑ヶ丘みんなの森入口
6359,"35.66735118,139.58671783",市民テニスコート入口
6360,"35.66631782,139.58753966",柳川橋
6361,"35.66694768,139.58254048",白百合女子大学八幡神社宝乗寺
6362,"35.66899845,139.58326728",緑ケ丘児童館福祉センター前
6363,"35.65821886,139.61846389",大東学園
6364,"35.65058766,139.61937638",有隣病院前
6365,"35.65505265,139.59043941",入間町一
6366,"35.65319979,139.59154045",中央電通学園裏
6367,"35.66263047,139.60693561",芦花恒春園
6368,"35.66069332,139.60812443",粕谷三
6369,"35.65819129,139.60929688",千歳台六
6370,"35.65222107,139.62067372",船橋地区会館
6371,"35.65372043,139.61293842",希望ヶ丘記念公園
6372,"35.64346402,139.60957784",祖師ヶ谷大蔵駅
6373,"35.64537856,139.60863516",祖師谷商店街
6374,"35.64693484,139.60846154",祖師谷まちづくり出張所
6375,"35.64851742,139.60828275",ふれあい遊歩道
6376,"35.65093377,139.60842660",祖師谷五南
6377,"35.65358941,139.60874043",塚戸南
6378,"35.65351235,139.60635551",祖師谷五北
6379,"35.65275729,139.60061914",鞍橋
6380,"35.64240348,139.60420432",砧図書館
6381,"35.64296869,139.60599524",祖師谷商店街西
6382,"35.66265062,139.58655176",おらほ橋
6383,"35.66229610,139.58546701",仙川駅
6384,"35.66615849,139.58527946",宅添橋
6385,"35.66489196,139.59605426",給田二
6386,"35.66767629,139.57552835",コミュニティセンター入口
6387,"35.66602517,139.56122386",晃華学園
6388,"35.65916199,139.56104376",原山通り入口
6389,"35.65843123,139.56163669",柴崎折返場
6390,"35.65608440,139.57572928",西つつじヶ丘四
6391,"35.63677714,139.58723552",喜多見駅
6392,"35.63694385,139.58330943",電力中央研究所
6393,"35.63785399,139.58141254",岩戸北一
6394,"35.64024253,139.57963366",市民グランド入口
6395,"35.64441048,139.58076956",狛江第五小
6396,"35.64609702,139.57997865",都営東野川二アパート前
