"35.70189169,139.63615728",阿佐谷南一
"35.67560562,139.67108288",幡ヶ谷原町
"35.68153587,139.64221644",大宮町
"35.67973228,139.63692255",西永福
"35.70276885,139.62832232",天沼
"35.67353942,139.66389647",笹塚二
"35.68350029,139.66939998",南台三
"35.69998603,139.63424654",杉並都税事務所
"35.68943380,139.66892257",富士高
"35.68105744,139.66967227",新山小
"35.68620385,139.66916794",南中野地域センター
"35.67276995,139.66114200",代田橋
"35.67755331,139.67047339",笹塚中
"35.67634309,139.66712000",富士見丘学園
"35.67496612,139.66343449",笹塚三
"35.70161708,139.63046826",阿佐ヶ谷南三
"35.70465201,139.63666864",阿佐ヶ谷駅
"35.70445082,139.62482900",荻窪公団アパート前
"35.67424080,139.66629165",笹塚
"35.68309880,139.66120147",南部高齢者会館
"35.69169475,139.69926274",新宿駅西口
"35.73636979,139.66001492",保健相談所前
"35.69960262,139.63568735",杉並区役所前
"35.67323691,139.76207717",数寄屋橋
"35.75098314,139.80414488",北千住駅西口
"35.74233644,139.84900450",葛飾区役所
"35.71149543,139.79879451",都営浅草駅
"35.71149516,139.77659634",上野駅
"35.78402538,139.28473489",河辺駅南口
"35.75426050,139.28800863",菅生
"35.75681344,139.28338684",上菅生
"35.75762504,139.27701273",菅生高
"35.73087722,139.72966972",大塚駅
"35.68927444,139.70149722",新宿駅新南口
"35.67918695,139.76834472",東京駅八重洲口
"35.69214170,139.63677973",和田堀公園入口
"35.70964552,139.63556289",阿佐谷北一
"35.70343172,139.64974293",高円寺南四
"35.68500077,139.66334015",栄橋
"35.67891924,139.65738310",釜寺
"35.67396805,139.67437653",幡ヶ谷折返所
"35.67222197,139.67280274",消防学校前
"35.68924675,139.66230629",母子寮前
"35.67865750,139.77312083",東京駅八重洲通り
"35.67942639,139.76567278",東京営業所
"35.62701250,139.77866445",東京テレポート駅
"35.69226500,139.69842889",新宿駅西口（27番のりば）
"35.70626973,139.66556374",中野駅
"35.65537104,139.75621972",浜松町バスターミナル
"35.63284669,139.73798480",品川バスターミナル
"35.62539983,139.77153375",ホテルグランパシフィック
"35.69226500,139.69842889",新宿西口
"35.69128384,139.69193977",ハイアットリージェンシー東京
"35.69109667,139.69676778",新宿センタービルウィラーステーション
"35.64558222,139.82624333",新木場駅
"35.69083667,139.69823111",新宿駅西口
"35.69034620,139.69119357",ホテルセンチュリーハイアット前
"35.68370223,139.77039371",東京駅日本橋口
"35.68855002,139.70244493",新宿駅新南口
"35.69243722,139.69796056",新宿
"35.71318667,139.36066445",昭島駅
"35.69916194,139.41244500",立川駅北口
"35.70230694,139.41297083",パレスホテル立川
"35.73215750,139.41862111",玉川上水駅
"35.68281325,139.76567267",東京駅（日本橋口）
"35.68855002,139.70244493",関ノ城
"35.64558222,139.82624333",鈴張
"35.67359083,139.74937028",霞が関
"35.68247083,139.77374083",東京駅日本橋口
"35.68047472,139.76518972",東京駅八重洲南口
"35.68251750,139.65207008",八幡通り
"35.68851016,139.64168794",松ノ木住宅
"35.69031905,139.62219610",高井戸境
"35.68195027,139.63258687",浜田山四
"35.68290954,139.64273412",大宮八幡前
"35.71136741,139.62469733",稲荷横町
"35.70947111,139.65087197",高円寺通
"35.69646170,139.64724359",大法寺前
"35.68648110,139.65607882",和田堀橋
"35.67563735,139.65908066",和泉一
"35.67754955,139.67734219",幡ヶ谷
"35.68375702,139.65904155",峰
"35.68645227,139.67192759",東大附属
"35.68699974,139.67621718",弥生町二
"35.68882582,139.68221331",本町三
"35.69765702,139.67612844",本町三
"35.70653557,139.68285600",東中野駅
"35.70967282,139.68192806",正見寺
"35.69189147,139.65467597",堀ノ内
"35.69419647,139.66840723",十貫坂上
"35.69091514,139.66920329",中野車庫
"35.69155776,139.67827464",花見橋
"35.69164099,139.68177104",弥生町一
"35.69746781,139.66355619",東高円寺南一
"35.69748405,139.66812197",本町六
"35.69757398,139.67786273",宝仙寺
"35.70021263,139.67113810",中央四
